rank,eligible,eligibility_reasons,distribution_ready,distribution_readiness_reasons,apn,site_apns,site_type,parcel_count,residential_zoning,SITUS_ADD,SITUS_CTY,FID,centroid_lon,centroid_lat,score,gross_acres,screenable_acres,excluded_acres,wetland_exclusion_acres,protected_exclusion_acres,farmland_exclusion_acres,city_exclusion_acres,improvement_value,improvement_value_per_acre,flat_fraction,open_fraction,contiguous_acres,mean_slope_deg,estimated_mw,reference_project_mw,reference_battery_mwh,reference_annual_mwh,reference_average_kw,static_pv_export_limit_mw,reference_export_gap_mw,interconnection_path,screened_project_mw,screened_annual_mwh,transmission_distance_m,transmission_Name,transmission_kV,transmission_Owner,transmission_Status,transmission_Type,highway_1_side,highway_1_distance_m,highway_1_viewshed_exposure,highway_1_visible_length_m,highway_1_nearest_visible_distance_m,pge_distance_m,pge_FeederId,pge_FeederName,pge_CSV_LineSection,pge_GenCapacity_kW,pge_GenericPVCapacity_kW,pge_voltage_kv,pge_phase_cnt,pge_ICA_Analysis_Date,pge_Feeder_Name,pge_Substation,pge_Nominal_Voltage,pge_ResCust,pge_ComCust,pge_IndCust,pge_AgrCust,pge_OthCust,pge_Existing_DG,pge_Queued_DG,pge_Total_DG,pge_profile_min_load_kw,pge_profile_peak_load_kw,pge_profile_min_midday_load_kw,fire_hazard,solar_kwh_m2_day,annual_mwh_per_mw,LCP_CODE,GEN_PLAN,BASEZONE,score_contiguous_land,score_flat_fraction,score_open_land_cover,score_undeveloped,score_industrial_reuse,score_distribution_proximity,score_residential_demand,score_evening_peak_demand,score_grid_hosting_capacity,score_solar_resource,score_transmission_proximity,score_low_highway_visibility
11.0,True,,True,,0691421100,0691421100,greenfield,1,True,25100 N HWY 1,FORT BRAGG,61732,-123.7769638136477,39.50062723888964,0.7581924189981609,39.38815340687613,29.34603451407874,10.042118892797387,10.042143347568226,8.443189040868315e-05,0.0,0.0,21751.0,552.2218768499782,0.9375,0.96875,25.797801825172062,5.126667218409326,4.690509422758557,1.0,4.0,1545.7377699999997,176.4540833333333,0.649,0.351,controlled_export_or_distribution_upgrade,0.649,1003.1838127299999,7281.834853568505,PG&E 60kV,60,PG&E,Operational,OH,east,8.217112732590621,0.014452678099367048,2100.0,36.892873528708996,971.1763845218859,042761101,FORT BRAGG A 1101,3637370,418.0,649.0,12,3.0,May 2026,FORT BRAGG A 1101,FORT BRAGG A,12,2136,484,66,3,25,1684,2188,3872,1706.0,4575.0,1901.0,High,4.9243,1545.7377699999997,R,RMR40,RMR,1.0,0.9375,0.96875,0.9447778123150021,0.0,0.3786373528848588,0.7824175824175824,1.0,0.3245,1.0,0.0006879221685289062,0.6386830475158238
12.0,True,,True,,0691420200,0691420200,greenfield,1,True,24950 N HWY 1,FORT BRAGG,15270,-123.77957199047314,39.500569326690446,0.7579882740418352,12.054736724334264,12.054736724334264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9516129032258065,13.121295755906479,4.514709773216939,2.3856901374375417,1.0,4.0,1545.7377699999997,176.4540833333333,0.649,0.351,controlled_export_or_distribution_upgrade,0.649,1003.1838127299999,7241.404637365967,PG&E 60kV,60,PG&E,Operational,OH,west,6.525920177053245,0.007890208375273416,1400.0,101.30298331278253,924.5209657453686,042761101,FORT BRAGG A 1101,3637370,418.0,649.0,12,3.0,May 2026,FORT BRAGG A 1101,FORT BRAGG A,12,2136,484,66,3,25,1684,2188,3872,1706.0,4575.0,1901.0,High,4.9243,1545.7377699999997,R,RMR40,RMR,0.656064787795324,1.0,0.9516129032258065,1.0,0.0,0.39672141671182226,0.7824175824175824,1.0,0.3245,1.0,0.0007163049045070619,0.8027447906181646
30.0,True,,True,,0691710500,0691710500,greenfield,1,True,23400 N HWY 1,FORT BRAGG,8658,-123.79943850310808,39.47959107958291,0.6855688348008917,18.09399064670693,18.09399064670693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7875,14.010875129188275,1.3350430996779807,2.5474318416705954,1.0,4.0,1545.7377699999997,176.4540833333333,0.683,0.31699999999999995,controlled_export_or_distribution_upgrade,0.683,1055.73889691,4896.953257280315,PG&E 60kV,60,PG&E,Operational,OH,west,10.100440895244567,0.05356650525084265,4600.0,106.14367582804728,2.5287832635801513,042761101,FORT BRAGG A 1101,3338370,464.0,683.0,12,3.0,May 2026,FORT BRAGG A 1101,FORT BRAGG A,12,2136,484,66,3,25,1684,2188,3872,1706.0,4575.0,1901.0,High,4.9243,1545.7377699999997,U,RR5(2),RR,0.7005437564594137,1.0,0.7875,1.0,0.0,0.997474411415366,0.7824175824175824,1.0,0.3415,1.0,0.007469305490788859,0.0
40.0,True,,True,,1272900100,1272900100,greenfield,1,False,7351 S HWY 1,ELK,35526,-123.70951945513231,39.11883383817152,0.6588744216428957,88.79733479657905,74.10092216289624,14.696412633682812,14.696412633682115,0.0,0.0,0.0,18092.0,203.74485384551204,0.5987841945288754,0.513677811550152,16.45721840571321,10.56632206304286,2.9922215283114926,1.0,4.0,1545.7377699999997,176.4540833333333,1.18,0.0,static_distribution,0.873,1349.4290732099998,0.0,PG&E 60kV,60,PG&E,Operational,OH,east,10.079902558422008,7.955332379905467e-05,300.0,3380.382768519445,921.2281927847852,042981101,ELK 1101,4435593,820.0,1180.0,12,3.0,Apr 2025,ELK 1101,ELK,12,1317,177,25,16,17,1024,1163,2187,873.0,2366.0,873.0,Moderate,4.9243,1545.7377699999997,R,RL160,RL,0.8228609202856605,0.5987841945288754,0.513677811550152,0.9796255146154488,0.0,0.3980298833251595,0.4824175824175824,0.5171584699453552,0.59,1.0,1.0,0.9980111669050237
62.0,True,,True,,1271100800,1271100800,greenfield,1,False,4801 S HWY 1,ELK,21962,-123.72834227001464,39.14393251055367,0.6219651828328956,75.26184367455416,55.043915875709466,20.21792779884469,20.21792779884543,0.0,0.0,0.0,0.0,0.0,0.6129032258064516,0.7459677419354839,23.129063705326676,8.355844028296518,4.205284310059396,1.0,4.0,1545.7377699999997,176.4540833333333,1.18,0.0,static_distribution,0.873,1349.4290732099998,0.0,PG&E 60kV,60,PG&E,Operational,OH,east,3.4166640563351462,0.030077647758283133,4400.0,31.177541449759403,0.0,042981101,ELK 1101,3233329,820.0,1180.0,12,3.0,Apr 2025,ELK 1101,ELK,12,1317,177,25,16,17,1024,1163,2187,873.0,2366.0,873.0,Moderate,4.9243,1545.7377699999997,R,RL160,RL,1.0,0.6129032258064516,0.7459677419354839,1.0,0.0,1.0,0.4824175824175824,0.5171584699453552,0.59,1.0,1.0,0.24805880604292163
67.0,True,,True,,1271400100,1271400100,greenfield,1,False,NONE, ,29291,-123.71653953617894,39.139643748812084,0.6168174990239372,145.1152447508225,131.48992238639389,13.625322364428627,13.625322364429518,0.0,0.0,0.0,0.0,0.0,0.5942275042444821,0.41765704584040747,45.813337724012456,11.15604625746918,8.329697768002264,1.0,4.0,1545.7377699999997,176.4540833333333,1.18,0.0,static_distribution,0.873,1349.4290732099998,0.0,PG&E 60kV,60,PG&E,Operational,OH,east,1.2739450331739222,0.020130611744816534,1200.0,33.717148051238105,503.8905996175291,042981101,ELK 1101,3233329,820.0,1180.0,12,3.0,Apr 2025,ELK 1101,ELK,12,1317,177,25,16,17,1024,1163,2187,873.0,2366.0,873.0,Moderate,4.9243,1545.7377699999997,R,RL160,RL,1.0,0.5942275042444821,0.41765704584040747,1.0,0.0,0.6041754762686598,0.4824175824175824,0.5171584699453552,0.59,1.0,1.0,0.4967347063795866
101.0,True,,True,,1271000100,1271000100,greenfield,1,False,NONE, ,30663,-123.73461968509979,39.1434665066124,0.5851791040825888,41.38267249377938,25.429618782989653,15.953053710789728,15.953053710789142,0.0,0.0,0.0,0.0,0.0,0.7567567567567568,0.972972972972973,18.013982308956354,8.535765750088649,3.2752695107193373,1.0,4.0,1545.7377699999997,176.4540833333333,1.18,0.0,static_distribution,0.873,1349.4290732099998,613.0655856736042,PG&E 60kV,60,PG&E,Operational,OH,west,2.383609748702463,0.034155837560109925,4500.0,77.38964096723467,304.1924437291993,042981101,ELK 1101,3233329,820.0,1180.0,12,3.0,Apr 2025,ELK 1101,ELK,12,1317,177,25,16,17,1024,1163,2187,873.0,2366.0,873.0,Moderate,4.9243,1545.7377699999997,R,RL160,RL,0.9006991154478177,0.7567567567567568,0.972972972972973,1.0,0.0,0.7377188834161317,0.4824175824175824,0.5171584699453552,0.59,1.0,0.5416877309831661,0.14610406099725193
125.0,True,,True,,1272100300,1272100300,greenfield,1,True,5915 S HWY 1,ELK,24353,-123.71442840254765,39.13212320558071,0.5651431383623284,13.627743857237398,13.627743857237398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8983050847457628,0.9322033898305084,10.897347322701991,5.290556038316444,1.9813358768549074,1.0,4.0,1545.7377699999997,176.4540833333333,1.18,0.0,static_distribution,0.873,1349.4290732099998,0.0,PG&E 60kV,60,PG&E,Operational,OH,east,40.347479772654346,0.03305937827456692,1000.0,119.90254644025883,287.42300654273697,042981101,ELK 1101,4716972,820.0,1180.0,12,3.0,Apr 2025,ELK 1101,ELK,12,1317,177,25,16,17,1024,1163,2187,873.0,2366.0,873.0,Moderate,4.9243,1545.7377699999997,R,RR10,RR,0.5448673661350996,0.8983050847457628,0.9322033898305084,1.0,0.0,0.750194324602136,0.4824175824175824,0.5171584699453552,0.59,1.0,1.0,0.17351554313582707
126.0,True,,True,,1271500100,1271500100,greenfield,1,False,5801 S HWY 1,ELK,33970,-123.71157335273759,39.132869061030355,0.5624728202646736,81.37033973108372,78.91985272050128,2.4504870105824352,2.4504870105817504,0.0,0.0,0.0,83181.0,1022.2520917929093,0.32294617563739375,0.8271954674220963,20.23793074216084,17.057617953372464,3.679623771301971,1.0,4.0,1545.7377699999997,176.4540833333333,1.18,0.0,static_distribution,0.873,1349.4290732099998,0.0,PG&E 60kV,60,PG&E,Operational,OH,east,9.488751042968824,0.04269961965016354,1600.0,69.34616175782993,0.0,042981101,ELK 1101,4716972,820.0,1180.0,12,3.0,Apr 2025,ELK 1101,ELK,12,1317,177,25,16,17,1024,1163,2187,873.0,2366.0,873.0,Moderate,4.9243,1545.7377699999997,R,RL160,RL,1.0,0.32294617563739375,0.8271954674220963,0.8977747908207091,0.0,1.0,0.4824175824175824,0.5171584699453552,0.59,1.0,1.0,0.0
127.0,True,,True,,1271400300,1271400300,greenfield,1,False,NONE, ,26697,-123.71078843385068,39.13641737925087,0.5611030769569696,111.09291471052875,94.57424089254012,16.518673817988628,16.51867381798803,0.0,0.0,0.0,0.0,0.0,0.30465116279069765,0.5906976744186047,14.678059659149621,19.1783539008086,2.668738119845386,1.0,4.0,1545.7377699999997,176.4540833333333,1.18,0.0,static_distribution,0.873,1349.4290732099998,0.0,PG&E 60kV,60,PG&E,Operational,OH,east,15.2676952561789,0.024551737537622395,1900.0,88.99679635934882,573.2300309202374,042981101,ELK 1101,4716972,820.0,1180.0,12,3.0,Apr 2025,ELK 1101,ELK,12,1317,177,25,16,17,1024,1163,2187,873.0,2366.0,873.0,High,4.9243,1545.7377699999997,R,RL160,RL,0.733902982957481,0.30465116279069765,0.5906976744186047,1.0,0.0,0.5637017209642796,0.4824175824175824,0.5171584699453552,0.59,1.0,1.0,0.3862065615594401
